rulename diff lwr upr padj
愛-喜び 0.599999999999891 -6.51149701935906 7.71149701935884 1
感動-喜び 2.59999999999982 -4.51149701935914 9.71149701935877 0.999967930017992
信頼-喜び 2.99999999999989 -4.11149701935906 10.1114970193588 0.999460972623813
優越-喜び 4.5999999999999 -2.51149701935905 11.7114970193589 0.822060278336287
好奇心-喜び 4.79999999999991 -2.31149701935904 11.9114970193589 0.751270110201127
期待（予測）-喜び 4.99999999999991 -2.11149701935905 12.1114970193589 0.670875841224544
楽観-喜び 6.1 -1.01149701935895 13.211497019359 0.234217885328304
自尊心-喜び 7.2999999999999 0.188502980640951 14.4114970193589 0.0356348518122142
運命-喜び 7.29999999999994 0.188502980640987 14.4114970193589 0.0356348518122114
驚き-喜び 8.29999999999994 1.18850298064098 15.4114970193589 0.00472756829758847
感傷-喜び 15.3 8.18850298064102 22.4114970193589 4.40458780559538e-12
不安-喜び 15.6999999999999 8.58850298064096 22.8114970193589 1.71307412699662e-12
不健全-喜び 15.9999999999999 8.88850298064094 23.1114970193589 1.14275255924667e-12
皮肉-喜び 16.0999999999999 8.98850298064094 23.2114970193589 1.07303055330021e-12
後悔-喜び 16.6999999999999 9.58850298064093 23.8114970193588 8.84070594509012e-13
罪悪感-喜び 16.7999999999999 9.68850298064092 23.9114970193588 8.78963568595736e-13
服従-喜び 17.4999999999999 10.3885029806409 24.6114970193588 8.88067397397663e-13
攻撃-喜び 18.2999999999999 11.1885029806409 25.4114970193589 8.72302230447985e-13
軽蔑-喜び 18.9999999999999 11.888502980641 26.1114970193589 8.73634498077536e-13
恐れ-喜び 19.3999999999999 12.288502980641 26.5114970193589 8.58757509547559e-13
怒り-喜び 19.5999999999999 12.488502980641 26.7114970193589 8.38773495104306e-13
畏怖-喜び 20.9999999999999 13.888502980641 28.1114970193589 6.87894186057747e-13
悲観-喜び 21.9999999999999 14.8885029806409 29.1114970193589 6.01629857044372e-13
拒絶-喜び 22.5999999999999 15.488502980641 29.7114970193589 5.83644244045445e-13
嫌悪-喜び 22.6999999999998 15.5885029806409 29.8114970193588 5.79869485761719e-13
悲しみ-喜び 22.7999999999999 15.688502980641 29.9114970193589 5.78981307342019e-13
憤慨-喜び 23.8999999999999 16.7885029806409 31.0114970193588 5.75206549058294e-13
恥辱-喜び 24.6999999999999 17.588502980641 31.8114970193589 5.74984504453369e-13
悲憤-喜び 25.1999999999999 18.0885029806409 32.3114970193588 5.74984504453369e-13
憎悪-喜び 25.7999999999999 18.688502980641 32.9114970193589 5.74984504453369e-13
絶望-喜び 29.2999999999999 22.188502980641 36.4114970193589 5.74984504453369e-13
感動-愛 1.99999999999993 -5.11149701935903 9.11149701935888 0.999999922081191
信頼-愛 2.4 -4.71149701935895 9.51149701935896 0.999994326387736
優越-愛 4.00000000000001 -3.11149701935894 11.111497019359 0.956817624484231
好奇心-愛 4.20000000000002 -2.91149701935893 11.311497019359 0.925182093144847
期待（予測）-愛 4.40000000000001 -2.71149701935894 11.511497019359 0.880432875026028
楽観-愛 5.50000000000011 -1.61149701935885 12.6114970193591 0.454679669762275
自尊心-愛 6.70000000000001 -0.41149701935894 13.811497019359 0.099354304606226
運命-愛 6.70000000000005 -0.411497019358904 13.811497019359 0.0993543046062202
驚き-愛 7.70000000000005 0.588502980641092 14.811497019359 0.016582863541473
感傷-愛 14.7000000000001 7.58850298064113 21.811497019359 3.10195202857244e-11
不安-愛 15.1 7.98850298064107 22.211497019359 8.14492917555754e-12
不健全-愛 15.4 8.28850298064105 22.511497019359 3.35342864588029e-12
皮肉-愛 15.5 8.38850298064105 22.611497019359 2.60069743518443e-12
後悔-愛 16.1 8.98850298064104 23.2114970193589 1.07303055330021e-12
罪悪感-愛 16.2 9.08850298064103 23.3114970193589 1.0037526365636e-12
服従-愛 16.9 9.78850298064105 24.011497019359 8.86846152070575e-13
攻撃-愛 17.7 10.5885029806411 24.811497019359 8.81850148459762e-13
軽蔑-愛 18.4 11.2885029806411 25.511497019359 8.84292639113937e-13
恐れ-愛 18.8 11.6885029806411 25.911497019359 8.70858940515973e-13
怒り-愛 19 11.8885029806411 26.111497019359 8.73634498077536e-13
畏怖-愛 20.4 13.2885029806411 27.511497019359 7.70827845997246e-13
悲観-愛 21.4 14.2885029806411 28.511497019359 6.45372644214603e-13
拒絶-愛 22 14.8885029806411 29.111497019359 6.01629857044372e-13
嫌悪-愛 22.0999999999999 14.988502980641 29.2114970193589 5.96522831131097e-13
悲しみ-愛 22.2000000000001 15.0885029806411 29.311497019359 5.89417403773496e-13
憤慨-愛 23.3 16.188502980641 30.411497019359 5.75872682873069e-13
恥辱-愛 24.1 16.9885029806411 31.211497019359 5.74984504453369e-13
悲憤-愛 24.6 17.488502980641 31.7114970193589 5.74984504453369e-13
憎悪-愛 25.2 18.0885029806411 32.311497019359 5.74984504453369e-13
絶望-愛 28.7 21.5885029806411 35.811497019359 5.74984504453369e-13
信頼-感動 0.400000000000075 -6.71149701935888 7.51149701935903 1
優越-感動 2.00000000000008 -5.11149701935887 9.11149701935904 0.999999922081191
好奇心-感動 2.20000000000009 -4.91149701935886 9.31149701935905 0.999999225772088
期待（予測）-感動 2.40000000000009 -4.71149701935887 9.51149701935904 0.999994326387736
楽観-感動 3.50000000000018 -3.61149701935877 10.6114970193591 0.99286642796869
自尊心-感動 4.70000000000009 -2.41149701935887 11.811497019359 0.788075115427144
運命-感動 4.70000000000012 -2.41149701935883 11.8114970193591 0.788075115427132
驚き-感動 5.70000000000012 -1.41149701935884 12.8114970193591 0.373013931413153
感傷-感動 12.7000000000002 5.5885029806412 19.8114970193591 2.60757775372156e-08
不安-感動 13.1000000000001 5.98850298064114 20.2114970193591 7.1101294851772e-09
不健全-感動 13.4000000000001 6.28850298064113 20.511497019359 2.63516442000622e-09
皮肉-感動 13.5000000000001 6.38850298064113 20.611497019359 1.88661353206498e-09
後悔-感動 14.1000000000001 6.98850298064111 21.211497019359 2.46020648297929e-10
罪悪感-感動 14.2000000000001 7.0885029806411 21.311497019359 1.74399494845545e-10
服従-感動 14.9000000000001 7.78850298064112 22.011497019359 1.57024393487859e-11
攻撃-感動 15.7000000000001 8.58850298064113 22.811497019359 1.71307412699662e-12
軽蔑-感動 16.4000000000001 9.28850298064114 23.5114970193591 9.36029032061469e-13
恐れ-感動 16.8000000000001 9.68850298064116 23.9114970193591 8.78963568595736e-13
怒り-感動 17.0000000000001 9.88850298064113 24.111497019359 8.84958772928712e-13
畏怖-感動 18.4000000000001 11.2885029806412 25.5114970193591 8.84292639113937e-13
悲観-感動 19.4000000000001 12.2885029806411 26.511497019359 8.58757509547559e-13
拒絶-感動 20.0000000000001 12.8885029806411 27.111497019359 8.18345391451203e-13
嫌悪-感動 20.1 12.9885029806411 27.211497019359 8.16569034611803e-13
悲しみ-感動 20.2000000000001 13.0885029806412 27.3114970193591 7.9569684174885e-13
憤慨-感動 21.3000000000001 14.1885029806411 28.411497019359 6.50479670127879e-13
恥辱-感動 22.1000000000001 14.9885029806411 29.211497019359 5.96522831131097e-13
悲憤-感動 22.6000000000001 15.4885029806411 29.711497019359 5.83644244045445e-13
憎悪-感動 23.2000000000001 16.0885029806411 30.311497019359 5.77204950502619e-13
絶望-感動 26.7000000000001 19.5885029806412 33.8114970193591 5.74984504453369e-13
優越-信頼 1.60000000000001 -5.51149701935894 8.71149701935896 0.999999999753547
好奇心-信頼 1.80000000000002 -5.31149701935894 8.91149701935897 0.999999994541424
期待（予測）-信頼 2.00000000000001 -5.11149701935894 9.11149701935897 0.999999922081191
楽観-信頼 3.10000000000011 -4.01149701935885 10.2114970193591 0.999026091910582
自尊心-信頼 4.30000000000001 -2.81149701935894 11.411497019359 0.904517064651087
運命-信頼 4.30000000000005 -2.81149701935891 11.411497019359 0.904517064651079
驚き-信頼 5.30000000000004 -1.81149701935891 12.411497019359 0.541044326547992
感傷-信頼 12.3000000000001 5.18850298064113 19.411497019359 9.29495895807264e-08
不安-信頼 12.7 5.58850298064107 19.811497019359 2.60757775372156e-08
不健全-信頼 13 5.88850298064105 20.111497019359 9.86502846078707e-09
皮肉-信頼 13.1 5.98850298064105 20.211497019359 7.1101294851772e-09
後悔-信頼 13.7 6.58850298064104 20.8114970193589 9.623960517402e-10
罪悪感-信頼 13.8 6.68850298064103 20.9114970193589 6.85771439634664e-10
服従-信頼 14.5 7.38850298064104 21.6114970193589 6.18441964306271e-11
攻撃-信頼 15.3 8.18850298064105 22.411497019359 4.40458780559538e-12
軽蔑-信頼 16 8.88850298064107 23.111497019359 1.14275255924667e-12
恐れ-信頼 16.4 9.28850298064109 23.511497019359 9.36029032061469e-13
怒り-信頼 16.6 9.48850298064106 23.711497019359 9.0649709960644e-13
畏怖-信頼 18 10.8885029806411 25.111497019359 8.76521077941561e-13
悲観-信頼 19 11.8885029806411 26.111497019359 8.73634498077536e-13
拒絶-信頼 19.6 12.4885029806411 26.711497019359 8.38773495104306e-13
嫌悪-信頼 19.6999999999999 12.588502980641 26.8114970193589 8.38107361289531e-13
悲しみ-信頼 19.8000000000001 12.6885029806411 26.911497019359 8.35997937542743e-13
憤慨-信頼 20.9 13.788502980641 28.011497019359 7.00883795445861e-13
恥辱-信頼 21.7 14.5885029806411 28.811497019359 6.16728890179274e-13
悲憤-信頼 22.2 15.088502980641 29.3114970193589 5.89417403773496e-13
憎悪-信頼 22.8 15.6885029806411 29.911497019359 5.78981307342019e-13
絶望-信頼 26.3 19.1885029806411 33.411497019359 5.74984504453369e-13
好奇心-優越 0.200000000000008 -6.91149701935895 7.31149701935896 1
期待（予測）-優越 0.400000000000004 -6.71149701935895 7.51149701935896 1
楽観-優越 1.5000000000001 -5.61149701935886 8.61149701935905 0.999999999957035
